name,description,category
iPhone 13,Apple smartphone with A15 chip and dual camera,Electronics
Samsung Galaxy S21,Android smartphone with AMOLED display,Electronics
OnePlus Nord,Mid range smartphone with fast performance,Electronics
Redmi Note 12,Budget smartphone with long battery life,Electronics
Realme Narzo,Affordable smartphone for daily use,Electronics
Running Shoes,Lightweight running shoes for daily exercise,Sports
Sports Shoes,Comfortable sports shoes with good grip,Sports
Casual Sneakers,Stylish sneakers for casual wear,Clothing
Formal Shoes,Leather formal shoes for office use,Clothing
Sandals Men,Comfortable daily wear sandals for men,Clothing
Sandals Women,Stylish sandals for women,Clothing
Slippers,Soft and comfortable home slippers,Clothing
Track Pants,Sports track pants for gym and running,Clothing
Gym T-shirt,Breathable t-shirt for workouts,Sports
Sports Jacket,Lightweight jacket for outdoor sports,Sports
Winter Jacket,Warm winter jacket for cold weather,Clothing
Kurta Cotton,Traditional cotton kurta for men,Clothing
Saree Silk,Elegant silk saree for special occasions,Clothing
Kids T-shirt,Soft cotton t-shirt for kids,Clothing
Bluetooth Headphones,Wireless headphones with noise isolation,Electronics
Smart Watch,Fitness smartwatch with heart rate monitor,Electronics
Power Bank,Portable power bank for charging devices,Electronics
LED Bulb,Energy saving LED light bulb,Home & Kitchen
Water Bottle,Reusable water bottle for daily use,Home & Kitchen
Lunch Box,Compact lunch box for office and school,Home & Kitchen
Pressure Cooker,Stainless steel pressure cooker for kitchen,Home & Kitchen
Face Wash,Gentle face wash for daily skincare,Beauty & Personal Care
Body Lotion,Hydrating body lotion for smooth skin,Beauty & Personal Care
Hair Oil,Nourishing hair oil for strong hair,Beauty & Personal Care
Toothpaste,Daily use toothpaste for oral care,Beauty & Personal Care
Instant Noodles,Quick cooking instant noodles,Grocery
Chocolate Pack,Assorted chocolate gift pack,Grocery
Dry Fruits Mix,Healthy mixed dry fruits pack,Grocery
Milk Powder,Instant milk powder for daily use,Grocery
Energy Drink,Refreshing energy drink for fitness,Grocery
Action Figure,Toy action figure for kids,Toys & Games
Soft Toy Plush,Soft plush toy for children,Toys & Games
Toy Train,Battery operated toy train,Toys & Games
Video Game Controller,Game controller for console gaming,Toys & Games
Skipping Rope,Fitness skipping rope for workouts,Sports
Badminton Racket,Lightweight badminton racket,Sports
Tennis Ball Pack,Pack of tennis balls for practice,Sports